ITTER107,Territorio,TIPO_DATO15,Tipo di indicatore demografico,SEXISTAT1,Sesso,ETA1,Età,STATCIV2,Stato civile,TIME,Seleziona periodo,Value
72034,Poggiorsini,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,649
72035,Polignano a Mare,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,8940
75097,Porto Cesareo,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,3092
73022,Pulsano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,5752
72036,Putignano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,13308
75063,Racale,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,5542
75095,San Cassiano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,998
71046,San Giovanni Rotondo,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,13733
71041,Rignano Garganico,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1006
73023,Roccaforzata,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,910
71042,Rocchetta Sant'Antonio,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,895
71043,Rodi Garganico,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1781
71044,Roseto Valfortore,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,543
75064,Ruffano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,4943
72037,Rutigliano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,9345
72038,Ruvo di Puglia,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,12752
75065,Salice Salentino,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,4182
75066,Salve,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2385
72039,Sammichele di Bari,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,3227
75068,San Cesario di Lecce,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,4193
74013,San Donaci,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,3246
75069,San Donato di Lecce,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2967
110007,San Ferdinando di Puglia,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,6933
73024,San Giorgio Ionico,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,7525
71047,San Marco in Lamis,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,6675
71048,San Marco la Catola,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,460
73025,San Marzano di San Giuseppe,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,4522
74014,San Michele Salentino,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,3158
71049,San Nicandro Garganico,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,7599
74015,San Pancrazio Salentino,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,4971
71050,San Paolo di Civitate,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2892
75071,San Pietro in Lama,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1836
